Altitude (m),Pressure (Pa),Temperature (K)
-5.000000e+03,1.726717e+05,3.206760e+02
-4.950000e+03,1.718443e+05,3.203507e+02
-4.900000e+03,1.710193e+05,3.200255e+02
-4.850000e+03,1.701966e+05,3.197002e+02
-4.800000e+03,1.693762e+05,3.193750e+02
-4.750000e+03,1.685581e+05,3.190497e+02
-4.700000e+03,1.677424e+05,3.187244e+02
-4.650000e+03,1.669289e+05,3.183992e+02
-4.600000e+03,1.661178e+05,3.180739e+02
-4.550000e+03,1.653090e+05,3.177487e+02
-4.500000e+03,1.645026e+05,3.174234e+02
-4.450000e+03,1.636984e+05,3.170981e+02
-4.400000e+03,1.628966e+05,3.167729e+02
-4.350000e+03,1.620971e+05,3.164476e+02
-4.300000e+03,1.612999e+05,3.161224e+02
-4.250000e+03,1.605050e+05,3.157971e+02
-4.200000e+03,1.597124e+05,3.154718e+02
-4.150000e+03,1.589222e+05,3.151466e+02
-4.100000e+03,1.581343e+05,3.148213e+02
-4.050000e+03,1.573487e+05,3.144961e+02
-4.000000e+03,1.565654e+05,3.141708e+02
-3.950000e+03,1.557844e+05,3.138455e+02
-3.900000e+03,1.550057e+05,3.135203e+02
-3.850000e+03,1.542294e+05,3.131950e+02
-3.800000e+03,1.534554e+05,3.128698e+02
-3.750000e+03,1.526836e+05,3.125445e+02
-3.700000e+03,1.519142e+05,3.122192e+02
-3.650000e+03,1.511471e+05,3.118940e+02
-3.600000e+03,1.503823e+05,3.115687e+02
-3.550000e+03,1.496198e+05,3.112435e+02
-3.500000e+03,1.488596e+05,3.109182e+02
-3.450000e+03,1.481018e+05,3.105929e+02
-3.400000e+03,1.473462e+05,3.102677e+02
-3.350000e+03,1.465930e+05,3.099424e+02
-3.300000e+03,1.458420e+05,3.096172e+02
-3.250000e+03,1.450934e+05,3.092919e+02
-3.200000e+03,1.443470e+05,3.089666e+02
-3.150000e+03,1.436030e+05,3.086414e+02
-3.100000e+03,1.428613e+05,3.083161e+02
-3.050000e+03,1.421218e+05,3.079909e+02
-3.000000e+03,1.413847e+05,3.076656e+02
-2.950000e+03,1.406498e+05,3.073403e+02
-2.900000e+03,1.399173e+05,3.070151e+02
-2.850000e+03,1.391871e+05,3.066898e+02
-2.800000e+03,1.384591e+05,3.063646e+02
-2.750000e+03,1.377335e+05,3.060393e+02
-2.700000e+03,1.370101e+05,3.057140e+02
-2.650000e+03,1.362891e+05,3.053888e+02
-2.600000e+03,1.355703e+05,3.050635e+02
-2.550000e+03,1.348539e+05,3.047383e+02
-2.500000e+03,1.341397e+05,3.044130e+02
-2.450000e+03,1.334278e+05,3.040877e+02
-2.400000e+03,1.327182e+05,3.037625e+02
-2.350000e+03,1.320109e+05,3.034372e+02
-2.300000e+03,1.313058e+05,3.031120e+02
-2.250000e+03,1.306031e+05,3.027867e+02
-2.200000e+03,1.299027e+05,3.024614e+02
-2.150000e+03,1.292045e+05,3.021362e+02
-2.100000e+03,1.285086e+05,3.018109e+02
-2.050000e+03,1.278150e+05,3.014857e+02
-2.000000e+03,1.271237e+05,3.011604e+02
-1.950000e+03,1.264346e+05,3.008351e+02
-1.900000e+03,1.257478e+05,3.005099e+02
-1.850000e+03,1.250633e+05,3.001846e+02
-1.800000e+03,1.243811e+05,2.998594e+02
-1.750000e+03,1.237012e+05,2.995341e+02
-1.700000e+03,1.230235e+05,2.992088e+02
-1.650000e+03,1.223481e+05,2.988836e+02
-1.600000e+03,1.216750e+05,2.985583e+02
-1.550000e+03,1.210041e+05,2.982331e+02
-1.500000e+03,1.203355e+05,2.979078e+02
-1.450000e+03,1.196692e+05,2.975825e+02
-1.400000e+03,1.190051e+05,2.972573e+02
-1.350000e+03,1.183433e+05,2.969320e+02
-1.300000e+03,1.176838e+05,2.966068e+02
-1.250000e+03,1.170265e+05,2.962815e+02
-1.200000e+03,1.163715e+05,2.959562e+02
-1.150000e+03,1.157188e+05,2.956310e+02
-1.100000e+03,1.150683e+05,2.953057e+02
-1.050000e+03,1.144200e+05,2.949805e+02
-1.000000e+03,1.137740e+05,2.946552e+02
-9.500000e+02,1.131303e+05,2.943299e+02
-9.000000e+02,1.124888e+05,2.940047e+02
-8.500000e+02,1.118496e+05,2.936794e+02
-8.000000e+02,1.112126e+05,2.933542e+02
-7.500000e+02,1.105778e+05,2.930289e+02
-7.000000e+02,1.099453e+05,2.927036e+02
-6.500000e+02,1.093151e+05,2.923784e+02
-6.000000e+02,1.086870e+05,2.920531e+02
-5.500000e+02,1.080613e+05,2.917279e+02
-5.000000e+02,1.074377e+05,2.914026e+02
-4.500000e+02,1.068164e+05,2.910773e+02
-4.000000e+02,1.061973e+05,2.907521e+02
-3.500000e+02,1.055805e+05,2.904268e+02
-3.000000e+02,1.049659e+05,2.901016e+02
-2.500000e+02,1.043535e+05,2.897763e+02
-2.000000e+02,1.037434e+05,2.894510e+02
-1.500000e+02,1.031354e+05,2.891258e+02
-1.000000e+02,1.025297e+05,2.888005e+02
-5.000000e+01,1.019263e+05,2.884753e+02
0.000000e+00,1.013250e+05,2.881500e+02
5.000000e+01,1.007260e+05,2.878250e+02
1.000000e+02,1.001291e+05,2.875000e+02
1.500000e+02,9.953454e+04,2.871750e+02
2.000000e+02,9.894215e+04,2.868500e+02
2.500000e+02,9.835197e+04,2.865250e+02
3.000000e+02,9.776400e+04,2.862000e+02
3.500000e+02,9.717824e+04,2.858750e+02
4.000000e+02,9.659468e+04,2.855500e+02
4.500000e+02,9.601334e+04,2.852250e+02
5.000000e+02,9.543419e+04,2.849000e+02
5.500000e+02,9.485724e+04,2.845750e+02
6.000000e+02,9.428249e+04,2.842500e+02
6.500000e+02,9.370994e+04,2.839250e+02
7.000000e+02,9.313958e+04,2.836000e+02
7.500000e+02,9.257142e+04,2.832750e+02
8.000000e+02,9.200544e+04,2.829500e+02
8.500000e+02,9.144165e+04,2.826250e+02
9.000000e+02,9.088005e+04,2.823000e+02
9.500000e+02,9.032063e+04,2.819750e+02
1.000000e+03,8.976340e+04,2.816500e+02
1.050000e+03,8.920834e+04,2.813250e+02
1.100000e+03,8.865546e+04,2.810000e+02
1.150000e+03,8.810475e+04,2.806750e+02
1.200000e+03,8.755622e+04,2.803500e+02
1.250000e+03,8.700986e+04,2.800250e+02
1.300000e+03,8.646566e+04,2.797000e+02
1.350000e+03,8.592363e+04,2.793750e+02
1.400000e+03,8.538377e+04,2.790500e+02
1.450000e+03,8.484606e+04,2.787250e+02
1.500000e+03,8.431052e+04,2.784000e+02
1.550000e+03,8.377713e+04,2.780750e+02
1.600000e+03,8.324589e+04,2.777500e+02
1.650000e+03,8.271681e+04,2.774250e+02
1.700000e+03,8.218988e+04,2.771000e+02
1.750000e+03,8.166509e+04,2.767750e+02
1.800000e+03,8.114245e+04,2.764500e+02
1.850000e+03,8.062194e+04,2.761250e+02
1.900000e+03,8.010358e+04,2.758000e+02
1.950000e+03,7.958736e+04,2.754750e+02
2.000000e+03,7.907327e+04,2.751500e+02
2.050000e+03,7.856131e+04,2.748250e+02
2.100000e+03,7.805148e+04,2.745000e+02
2.150000e+03,7.754378e+04,2.741750e+02
2.200000e+03,7.703820e+04,2.738500e+02
2.250000e+03,7.653475e+04,2.735250e+02
2.300000e+03,7.603341e+04,2.732000e+02
2.350000e+03,7.553419e+04,2.728750e+02
2.400000e+03,7.503708e+04,2.725500e+02
2.450000e+03,7.454208e+04,2.722250e+02
2.500000e+03,7.404920e+04,2.719000e+02
2.550000e+03,7.355841e+04,2.715750e+02
2.600000e+03,7.306973e+04,2.712500e+02
2.650000e+03,7.258315e+04,2.709250e+02
2.700000e+03,7.209867e+04,2.706000e+02
2.750000e+03,7.161628e+04,2.702750e+02
2.800000e+03,7.113599e+04,2.699500e+02
2.850000e+03,7.065778e+04,2.696250e+02
2.900000e+03,7.018166e+04,2.693000e+02
2.950000e+03,6.970762e+04,2.689750e+02
3.000000e+03,6.923566e+04,2.686500e+02
3.050000e+03,6.876578e+04,2.683250e+02
3.100000e+03,6.829798e+04,2.680000e+02
3.150000e+03,6.783224e+04,2.676750e+02
3.200000e+03,6.736858e+04,2.673500e+02
3.250000e+03,6.690698e+04,2.670250e+02
3.300000e+03,6.644744e+04,2.667000e+02
3.350000e+03,6.598996e+04,2.663750e+02
3.400000e+03,6.553454e+04,2.660500e+02
3.450000e+03,6.508117e+04,2.657250e+02
3.500000e+03,6.462985e+04,2.654000e+02
3.550000e+03,6.418058e+04,2.650750e+02
3.600000e+03,6.373336e+04,2.647500e+02
3.650000e+03,6.328818e+04,2.644250e+02
3.700000e+03,6.284503e+04,2.641000e+02
3.750000e+03,6.240392e+04,2.637750e+02
3.800000e+03,6.196484e+04,2.634500e+02
3.850000e+03,6.152779e+04,2.631250e+02
3.900000e+03,6.109277e+04,2.628000e+02
3.950000e+03,6.065976e+04,2.624750e+02
4.000000e+03,6.022878e+04,2.621500e+02
4.050000e+03,5.979981e+04,2.618250e+02
4.100000e+03,5.937286e+04,2.615000e+02
4.150000e+03,5.894791e+04,2.611750e+02
4.200000e+03,5.852497e+04,2.608500e+02
4.250000e+03,5.810403e+04,2.605250e+02
4.300000e+03,5.768509e+04,2.602000e+02
4.350000e+03,5.726815e+04,2.598750e+02
4.400000e+03,5.685320e+04,2.595500e+02
4.450000e+03,5.644024e+04,2.592250e+02
4.500000e+03,5.602926e+04,2.589000e+02
4.550000e+03,5.562027e+04,2.585750e+02
4.600000e+03,5.521326e+04,2.582500e+02
4.650000e+03,5.480822e+04,2.579250e+02
4.700000e+03,5.440515e+04,2.576000e+02
4.750000e+03,5.400405e+04,2.572750e+02
4.800000e+03,5.360492e+04,2.569500e+02
4.850000e+03,5.320774e+04,2.566250e+02
4.900000e+03,5.281253e+04,2.563000e+02
4.950000e+03,5.241927e+04,2.559750e+02
5.000000e+03,5.202795e+04,2.556500e+02
5.050000e+03,5.163859e+04,2.553250e+02
5.100000e+03,5.125117e+04,2.550000e+02
5.150000e+03,5.086569e+04,2.546750e+02
5.200000e+03,5.048214e+04,2.543500e+02
5.250000e+03,5.010053e+04,2.540250e+02
5.300000e+03,4.972085e+04,2.537000e+02
5.350000e+03,4.934309e+04,2.533750e+02
5.400000e+03,4.896725e+04,2.530500e+02
5.450000e+03,4.859333e+04,2.527250e+02
5.500000e+03,4.822132e+04,2.524000e+02
5.550000e+03,4.785122e+04,2.520750e+02
5.600000e+03,4.748303e+04,2.517500e+02
